gold_id,origin_id,set,program_type,outcome_text,v1_coder_a,v1_coder_b,v1_gold,v1_alternates,v1_agreement,v1_forced_fit,v2_coder_a,v2_coder_b,v2_gold,v2_alternates,v2_agreement,v2_forced_fit,v2_outcome_type,expected_uncoded,codebook_issues,adjudication_note,review_priority,status,adjudicated_by,adjudicated_on
S212,N-084,design,school_based_mental_health,Students who experienced trauma will report feeling safe at school.,7.3,7.3,7.3,2.1,agreed,0,Y2.1,Y2.1,Y2.1,Y12.1,agreed,0,attitude,false,"7.3 includes feeling psychologically safe, but rule 1 sends felt safety to Domain 2; no tie-breaker. || v2: Y12.1 definition includes 'at school', but tie-breaker sends school-specific safety to Y2.1; contradictory. | School-specific felt safety per tie-breaker.",,normal,proposed,,
S213,V-016,design,arts_education,Youth will discover a new passion for dance.,1.2,1.2,1.2,1.3,agreed,1,Y1.3,Y1.3,Y1.3,Y7.6,agreed,0,attitude,false,Developed/individual interest (Hidi phase 2-4) has no clear subcategory.,,high,proposed,,
S214,G-035,design,stem_robotics,"Youth will continue pursuing robotics after the program ends, joining a school team.",5.3,5.3,5.3,1.3,agreed,0,Y1.3,Y1.3,Y1.3,Y1.5,agreed,0,behavior,false,,,normal,proposed,,
S215,V-084,design,digital_equity,"Youth will demonstrate safe and responsible online behavior, including recognizing scams and protecting personal information.",6.5,6.5,6.5,,agreed,0,Y5.7,Y5.7,Y5.7,Y7.9,agreed,0,behavior,false,,,normal,proposed,,
S216,G-012,design,general_education_tutoring,Students will believe they can pass their algebra class.,4.4,4.4,4.4,,agreed,0,Y6.4,Y6.4,Y6.4,Y4.3,agreed,0,attitude,false,,,normal,proposed,,
S217,G-057,design,general,Improve outcomes for students.,none,none,none,,agreed,0,none,none,none,,agreed,0,none,true, || v2: Too vague to code per the codebook's own example.,,normal,proposed,,
S218,N-098,design,juvenile_justice_reentry,Youth will secure a job within 90 days of release.,8.8,8.8,8.8,7.8,agreed,0,Y9.5,Y9.5,Y9.5,Y12.4,agreed,0,status,false,,,normal,proposed,,
S219,N-100,design,workforce_cte,Students will earn college credit through dual enrollment in a CTE pathway.,8.7,8.7,8.7,11.6;8.6,agreed,0,Y8.6,Y8.6,Y8.6,Y9.4,agreed,0,status,false,Dual-enrollment college credit sits between 8.7 and 11.6 credit accumulation.,,normal,proposed,,
S220,N-071,design,early_childhood,Children will show persistence and curiosity when working on puzzles and new tasks.,4.2 + 1.2,3.2.4 + 1.2,4.2,3.2.4;1.2,contested,0,Y6.2 + Y1.2,Y6.2 + Y1.2,Y6.2,Y3.5,agreed,0,behavior|skill,false,"11.7 note routes Approaches-to-Learning (incl. curiosity) to Domain 4, conflicting with 1.2 curiosity.","Per 11.7 note, early-childhood approaches to learning route to Domain 4; split curiosity to 1.2.",high,proposed,,
S221,V-089,design,general_education_tutoring,Students will increase their use of effective study strategies such as note-taking and test preparation.,4.3,4.3,4.3,,agreed,0,Y6.3,Y6.3,Y6.3,Y6.1,agreed,0,behavior,false,,,normal,proposed,,
S222,N-078,design,afterschool_ost,Students will report that there is an adult at the program who notices when they are absent.,2.2,2.2,2.2,,agreed,0,Y2.2,Y2.2,Y2.2,Y2.1,agreed,0,attitude,false,,,normal,proposed,,
S223,N-092,design,civic_engagement,Youth will stand up for classmates who are being treated unfairly.,3.5.2,3.5.2,3.5.2,6.4,agreed,0,Y5.5,Y3.15,Y3.15,Y5.5,contested,0,behavior,false, || v2: Y5.5 (standing up against injustice) and Y3.15 (reporting bullying) both fit; no tie-breaker.,v2: rc1: standing up for a peer in a specific situation → Y3.15.,high,proposed,,
S224,N-009,design,foster_care_transition,"Youth will demonstrate independent living skills such as cooking, budgeting, and scheduling appointments.",3.2.4,3.2.4,3.2.4,12.5,agreed,1,Y9.7,Y9.7,Y9.7,Y9.6,agreed,0,skill,false,"No home for independent living skills. | No subcategory covers independent-living skills (cooking, budgeting, appointments) as a bundle.",,high,proposed,,
S225,N-010,design,runaway_homeless_youth,Youth staying at the shelter will exit to a safe and stable housing situation.,12.7,12.7,12.7,5.1,agreed,0,F2.3,F2.3,F2.3,,agreed,0,status,false,Housing stability framed for families; youth shelter exits not addressed.,,normal,proposed,,
S226,G-058,design,faith_based,Youth will participate in a church-led service trip to rebuild homes.,6.2,6.2,6.2,5.3,agreed,0,Y5.4,Y5.4,Y5.4,,agreed,0,behavior,false,,,normal,proposed,,
S227,G-032,design,afterschool_ost,Youth will help set up and clean up the program space each day.,3.5.5,3.5.5,3.5.5,6.2,agreed,0,Y3.17,Y3.17,Y3.17,Y5.4,agreed,0,behavior,false,,,normal,proposed,,
S228,V-086,design,digital_equity,Program will distribute 200 refurbished laptops to low-income families this year.,9.1,9.1,9.1,10.5,agreed,0,A2.2,A2.3,A2.3,A2.2,contested,0,output,false,Resource distribution count ambiguous between 9.1 and 10.5 output. || v2: Program counts of distributed resources fit A2.2 (counts) and A2.3 (providing technology); no tie-breaker.,v2: rc1: counts of resources distributed → A2.3.,high,proposed,,
S229,N-060,design,violence_prevention,Participants will report carrying a weapon less often.,7.7,7.7,7.7,3.5.4,agreed,0,Y12.3,Y12.3,Y12.3,,agreed,0,behavior,false,,,normal,proposed,,
S230,G-016,design,stem_robotics,Team members will collaborate to design and build a robot.,3.4.2,1.4,3.4.2,1.4,contested,0,Y3.10,Y3.10 + Y7.4,Y3.10,Y7.4,agreed,0,behavior|skill,false,,Collaboration is the result; building the robot is the activity.,high,proposed,,
S231,V-050,design,disability_inclusion,Families of children with disabilities will report reduced caregiver stress and burnout.,12.2,12.2,12.2,,agreed,0,F1.2,F1.2,F1.2,,agreed,0,status,false,,,normal,proposed,,
S232,V-083,design,digital_equity,Youth will develop coding and computational thinking skills.,11.3,11.3,11.3,8.6,agreed,0,Y7.4,Y7.4,Y7.4,,agreed,0,skill,false,,,normal,proposed,,
S233,G-024,design,general_education_tutoring,Participating students will reduce chronic absenteeism from school.,11.5,11.5,11.5,,agreed,0,Y8.1,Y8.1,Y8.1,,agreed,0,behavior|status,false,,,normal,proposed,,
S234,V-002,design,afterschool_ost,Youth will report feeling excited and happy to attend program each day.,1.1,1.1,1.1,2.1,agreed,0,Y1.1,Y1.1,Y1.1,Y2.1,agreed,0,attitude,false,,,normal,proposed,,
S235,G-018,design,general_education_tutoring,Students will turn in homework on time.,4.1,4.1,4.1,3.2.4,agreed,0,Y6.1,Y6.1,Y6.1,Y3.5,agreed,0,behavior,false,,,normal,proposed,,
S236,V-049,design,disability_inclusion,Youth will develop self-advocacy skills to communicate their needs and accommodations.,3.4.4,3.4.4,3.4.4,3.4.1;6.3,agreed,1,Y4.6,Y4.6,Y4.6,Y3.9,agreed,0,skill,false,Self-advocacy lacks explicit subcategory.,,high,proposed,,
S237,V-053,design,school_based_mental_health,Students will develop coping strategies for managing stress.,3.2.2,3.2.2,3.2.2,,agreed,0,Y3.3,Y3.3,Y3.3,,agreed,0,skill,false,,,normal,proposed,,
S238,G-023,design,afterschool_ost,The program will serve 300 youth across four sites.,10.5,10.5,10.5,,agreed,0,A2.2,A2.2,A2.2,,agreed,0,output,false,,,normal,proposed,,
S239,G-010,design,disability_inclusion,Caregivers of children with autism will report reduced parenting stress.,12.2,12.2,12.2,7.2,agreed,0,F1.2,F1.2,F1.2,F1.1,agreed,0,status,false,,,normal,proposed,,
S240,G-055,design,digital_equity,Every participating family will have a working laptop and home internet.,9.1,9.1,9.1,12.5,agreed,0,A2.3,A2.3,A2.3,F1.5;F2.1,agreed,1,status,false, || v2: Household is who changed (Part F) but no F code covers household technology/connectivity access; A2.3 is program provision. | No clean code for family tech access as an outcome vs. program provision.,,high,proposed,,
S241,V-071,design,juvenile_justice_reentry,Youth will re-enroll in school or obtain a GED following release.,11.6,11.6,11.6,7.8,agreed,0,Y8.5,Y8.5,Y8.5,,agreed,0,status,false,,,normal,proposed,,
S242,N-081,design,afterschool_ost,Youth will practice gratitude by writing thank-you notes to community volunteers.,5.2,5.2,5.2,3.5.2;3.5.5,agreed,1,Y3.6,Y3.6,Y3.6,Y5.1,agreed,0,behavior,false,"Gratitude not named in any definition. | Gratitude is not one of the listed value examples (integrity, honesty, responsibility).",,high,proposed,,
S243,G-015,design,mentoring,Youth will adopt a growth mindset when facing setbacks.,3.1.4,3.1.4,3.1.4,4.2,agreed,0,Y4.3,Y4.3,Y4.3,Y6.4,agreed,0,attitude,false,,,normal,proposed,,
S244,V-091,design,general_education_tutoring,Tutors (college volunteers) will strengthen their own communication and mentoring skills through the experience.,10.1,10.1,10.1,8.5,agreed,0,A1.1,A1.1,A1.1,,agreed,0,skill,false,,,normal,proposed,,
S245,V-035,design,family_support,Caregivers will demonstrate use of positive discipline strategies at home.,12.1,12.1,12.1,,agreed,0,F1.1,F1.1,F1.1,,agreed,0,behavior,false,,,normal,proposed,,
S246,G-025,design,mentoring,Mentees will report that their mentor cares about them.,2.2,2.2,2.2,,agreed,0,Y2.2,Y2.2,Y2.2,Y2.1,agreed,0,attitude,false,,,normal,proposed,,
S247,V-079,design,food_security,Participants will grow and harvest vegetables in the community garden.,7.1,7.1,7.1,12.6;6.2,agreed,1,Y7.10,Y7.10,Y7.10,Y5.6,agreed,0,behavior|skill,false,Gardening/food-growing activity stated as outcome has no home. | No subcategory covers gardening/agricultural skill-building specifically. || v2: Gardening is the codebook's own example for this extension category.,,high,proposed,,
S248,N-059,design,violence_prevention,Youth will be able to identify warning signs of dating violence.,7.7,7.7,7.7,3.5.4;7.6,agreed,0,Y12.3,Y12.3,Y12.3,Y10.6,agreed,0,knowledge,false,,,normal,proposed,,
S249,G-019,design,general_education_tutoring,Students will improve reading comprehension scores by one grade level.,11.1,11.1,11.1,,agreed,0,Y7.1,Y7.1,Y7.1,Y8.3,agreed,0,skill,false,,,normal,proposed,,
S250,G-013,design,faith_based,Youth will develop a sense of purpose for their lives.,5.4,5.4,5.4,3.1.2,agreed,0,Y4.5,Y4.5,Y4.5,,agreed,0,attitude,false,,,normal,proposed,,
S251,N-015,design,teen_parents,Teen parents will delay a second pregnancy for at least 24 months.,7.6,7.6,7.6,,agreed,0,Y10.6,Y10.6,Y10.6,F1.1,agreed,0,behavior|status,false,,,normal,proposed,,
S252,V-043,design,immigrant_refugee,Families will navigate school enrollment and special education processes despite language barriers.,6.1,9.2,9.2,6.1;12.5,contested,1,F1.6,F1.6,F1.6,F3.3,agreed,0,behavior,false,6.1 fits navigating systems but is youth civic; Domain 12 lacks caregiver system-navigation.,Family system navigation has no home (deferred).,high,proposed,,
S253,G-039,design,workforce_cte,Interns will demonstrate leadership and initiative in the workplace.,8.5,8.5,8.5,6.3,agreed,0,Y9.3,Y9.3,Y9.3,Y3.10,agreed,0,behavior|skill,false," || v2: Explicitly framed around work, so Y9.3 per tie-breaker.",,normal,proposed,,
S254,N-091,design,civic_engagement,Youth will explain how a bill becomes a law in their state.,6.1,6.1,6.1,,agreed,0,Y5.2,Y5.2,Y5.2,Y7.5,agreed,0,knowledge,false,,,normal,proposed,,
S255,V-024,design,environmental_outdoor,"Participants will build confidence in outdoor physical skills (hiking, kayaking, rock climbing).",3.1.4,3.1.4,3.1.4,7.1,agreed,0,Y4.3,Y4.3,Y4.3,Y10.2,agreed,1,attitude,false, || v2: Skill-specific confidence has no home; Y4.3 is general confidence. | Statement centers on confidence rather than the skills themselves.,,high,proposed,,
